Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
5.659917116165161	0	-291.9534677399159	-15.09515986386034	46.052079639903944	-154.71222283699808	-441.36211464556567	20.0	0.0	252	10080	-293.5931257700602	-15.32438327335995
10.733825922012329	1	-288.36171579487683	-14.739753163792075	45.44645588493635	-153.10545220313648	-430.4891484813258	20.0	0.0	252	20160	-295.00030524345726	-14.738478925377834
15.503655195236206	2	-286.3488154452941	-14.526583384827289	46.183535414339666	-174.04898466763	-451.8287152143023	20.0	0.0	252	30240	-295.1893187548278	-15.661883625139664
22.07436990737915	3	-290.8126379021442	-14.893375879237022	44.43976513605247	-162.91849301772368	-463.03428322539577	20.0	0.0	252	40320	-284.85159559124895	-13.997588464853484
27.94383406639099	4	-287.02232340122174	-14.543791997070013	43.82703347514659	-159.3137702667057	-404.9007266123223	20.0	0.0	252	50400	-286.5905913553606	-14.2231892080737
33.21000695228577	5	-287.5777779361368	-14.694198207238733	45.43466768721349	-129.08309132006758	-414.0090375609041	20.0	0.0	252	60480	-286.19213122933036	-14.397840956461438
39.14153504371643	6	-284.84500721256956	-14.165866320877292	44.01774981505603	-172.04275162690584	-397.35966700272786	20.0	0.0	252	70560	-276.18971076284555	-13.894633990411426
44.74457001686096	7	-281.01339837722105	-14.138250676639936	43.790380214941834	-140.24300434802743	-429.001022544246	20.0	0.0	252	80640	-282.28216969779027	-14.17482961121766
50.50199103355408	8	-279.37174723928564	-13.69525704070813	41.09164902276809	-159.3919894243731	-378.6277805489672	20.0	0.0	252	90720	-276.1851835637421	-14.076030913434906
56.58098292350769	9	-272.92925910483933	-13.335037565910246	42.02821939571333	-144.55523448368425	-381.3988244635799	20.0	0.0	252	100800	-258.99831673987836	-12.049366194269917
61.99176907539368	10	-267.9014729055536	-12.819549920224889	40.46125884577769	-115.21047894918944	-404.48783287532444	20.0	0.0	252	110880	-256.83238297442927	-12.028446547531944
67.23635816574097	11	-260.1645279534763	-12.00036711234026	46.108846018257324	-122.58814302022625	-394.0830302210219	20.0	0.0	252	120960	-240.62304654863803	-10.66810544430404
72.33193492889404	12	-249.8438155163447	-11.288321148681552	46.67345817350188	-119.54674626587135	-388.9571608767521	20.0	0.0	252	131040	-249.4625450072032	-11.353679522634609
77.42190718650818	13	-248.38979651149302	-11.081316824441043	47.43119631832827	-110.4980730952951	-392.05520226192976	20.0	0.0	252	141120	-242.57325643361642	-10.234064326328566
82.50720810890198	14	-240.5718448302466	-10.415261624902715	50.569253483778105	-98.73788166684142	-369.44967456582987	20.0	0.0	252	151200	-226.26385167654453	-9.104292270226013
87.52655506134033	15	-230.59291418942504	-9.613927764002069	47.35380612496325	-101.94594392669937	-358.64121395223685	20.0	0.0	252	161280	-214.81585043621143	-8.127954451671815
92.87577104568481	16	-222.13145942460457	-8.979004380397877	48.52525260628994	-113.24831284122098	-356.8369708521264	20.0	0.0	252	171360	-217.0625153496624	-7.928633914217696
98.16767883300781	17	-212.4318225975602	-8.102852016270786	51.79405387382293	-82.97682092349613	-368.2939888399228	20.0	0.0	252	181440	-188.09797632473553	-6.115433777447983
103.29506707191467	18	-199.37104240745606	-7.1554225333061225	49.87297796433036	-94.00458483913533	-345.665429498197	20.0	0.0	252	191520	-199.19585480891905	-6.593158175067579
108.2157781124115	19	-191.72361195497282	-6.816720939585734	52.04721965055256	-89.02320350488709	-328.46290239261657	20.0	0.0	252	201600	-187.9313940610197	-6.919500183017924
113.09450221061707	20	-187.3281900346595	-6.661975871766831	53.074366478794346	-87.37632443113696	-333.7872660777188	20.0	0.0	252	211680	-172.10209937776906	-6.19463807104261
117.99626421928406	21	-181.92023696715376	-6.401936407159491	52.57414578736625	-87.53724682079196	-323.1170831033694	20.0	0.0	252	221760	-160.20770291386125	-5.237640240576673
122.8733229637146	22	-168.80184924377667	-5.655498828760478	51.13960864607256	-74.96004840840428	-353.93349189924817	20.0	0.0	252	231840	-159.89905268589607	-5.405134044336298
127.72218585014343	23	-161.3103218184607	-5.382530354804333	47.55175038555733	-67.4565879412547	-342.37111512299344	20.0	0.0	252	241920	-160.62426235845336	-5.286220868133736
132.59657311439514	24	-157.97238950811365	-5.28926421489389	48.701488279371084	-76.59056824507857	-405.9643706450199	20.0	0.0	252	252000	-143.2112724051327	-4.742788823293883
137.49037909507751	25	-152.26987741350257	-4.99825601844315	45.262737098688824	-70.6851799987619	-370.00362510808793	20.0	0.0	252	262080	-145.42854940788047	-4.843397072280208
142.39141297340393	26	-142.48075708777014	-4.573168068609552	46.69252414335404	-74.28667190641532	-360.98468861386834	20.0	0.0	252	272160	-133.41516736353273	-4.313149557373968
147.24081993103027	27	-139.10921356405876	-4.2346124242697645	40.38904693297677	-52.192880033693505	-252.44568276380576	20.0	0.0	252	282240	-129.33488105711305	-3.603040177198782
152.10845708847046	28	-136.02306448611316	-4.0414988229257185	41.5747520374653	-66.86589975612559	-304.5147796944127	20.0	0.0	252	292320	-125.83888390186183	-3.507712078687831
156.97171020507812	29	-128.95235362577648	-3.928764373161379	38.81903486281237	-65.99431690628512	-255.9170093226714	20.0	0.0	252	302400	-119.87736525447623	-3.300601086137345
161.85822105407715	30	-122.17921817076807	-3.7288815766361947	40.82395503135439	-62.118872855902026	-299.58781856220594	20.0	0.0	252	312480	-120.9209617976145	-3.38962980120985
166.83420205116272	31	-120.74033796884632	-3.5206642290029673	36.73298040703896	-61.06999677090223	-238.3550087752334	20.0	0.0	252	322560	-117.09006677470667	-3.5362102263411743
