Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
154.91407990455627	0	-170.034787428723	-9.459617817674577	68.18196108666166	-35.27647434366689	-379.6243306115462	20.0	0.0	1020	10020	-163.3327701697997	-9.407549317121667
304.67835998535156	1	-167.13960705860697	-8.943451780527212	64.46323731764498	-37.72451221988967	-346.46531348277114	20.0	0.0	1020	20040	-156.28010602175775	-7.616727874498288
455.1689500808716	2	-175.1832698094874	-9.312356865016255	63.346896443925495	-30.130392781626856	-366.278630856906	20.0	0.0	1020	30060	-161.84152329686137	-8.3847214388794
606.8769268989563	3	-161.07622734490155	-8.491312009343233	59.97987343925475	-29.49031152609491	-322.0883270474168	20.0	0.0	1020	40080	-141.18608037598196	-7.141187148444409
757.4927909374237	4	-163.95993690030193	-8.618821458475326	67.7981666153556	-30.980884725743497	-365.56646085093473	20.0	0.0	1020	50100	-136.66261487204696	-6.826486315511664
911.1581511497498	5	-152.83644835481573	-7.798282859656236	64.67198037179328	-24.939096322864835	-330.86620447768263	20.0	0.0	1020	60120	-161.433873747949	-8.035224275281127
1061.6910581588745	6	-157.7232860187345	-8.144275300478922	66.48830709977622	-32.44038079571208	-347.59180684390384	20.0	0.0	1020	70140	-130.96161905057832	-6.535622209620914
1212.812583208084	7	-159.62168681400797	-7.966523717826177	69.33086022148815	-26.810731535963747	-369.42139449159976	20.0	0.0	1020	80160	-152.82218471365601	-8.277739905974766
1361.4059219360352	8	-154.09613864892842	-7.403659560252798	68.20813963563255	-25.05036878985157	-339.70202817002246	20.0	0.0	1020	90180	-165.89315180282443	-7.743589006951161
1517.583018064499	9	-155.62408273418706	-7.695959411262161	68.99159012699816	-28.034140402566123	-374.5473157123879	20.0	0.0	1020	100200	-163.33893069663242	-7.583493279223466
1664.1266059875488	10	-149.16316469871194	-7.188507786598087	66.86687109134279	-29.542610294670965	-350.538297554288	20.0	0.0	1020	110220	-143.70981454818264	-7.141007660205564
1810.2936408519745	11	-157.56229860731779	-7.673471657374053	71.7770845150476	-27.23870106871122	-389.52659083202013	20.0	0.0	1020	120240	-155.98403294546554	-7.593765495008523
1955.9245791435242	12	-153.66747286512705	-7.180667521751678	65.1862633314012	-25.207256324475313	-429.21499647630446	20.0	0.0	1020	130260	-137.13214362312522	-5.845976786183946
2101.3431448936462	13	-149.2172247687878	-6.6475685500110115	64.02428301601729	-24.253818800014848	-384.0915522186104	20.0	0.0	1020	140280	-138.72635090312193	-6.098433614595021
2246.148293018341	14	-160.68972848799154	-7.472843690599256	67.64483823572272	-31.14300210342432	-387.45479522459453	20.0	0.0	1020	150300	-154.90928509819133	-6.925858635431624
2390.650801181793	15	-145.69240452249014	-6.425290192363225	62.73473914565817	-19.07951433144054	-331.51130408537534	20.0	0.0	1020	160320	-164.67314233743932	-7.133450758828024
2534.8578312397003	16	-136.2720868434814	-5.999770194523924	62.708143048019465	-27.384279741808957	-447.208518112558	20.0	0.0	1020	170340	-124.76022905819676	-5.315822528234934
2678.78711104393	17	-145.4614781042861	-6.336617212924875	73.92209529991183	-18.266876353771423	-392.1558910703074	20.0	0.0	1020	180360	-133.90673293151175	-6.356252015232595
2822.699367046356	18	-135.0398504323242	-5.821781160152144	65.89026904295363	-23.15685769057115	-416.3770873193494	20.0	0.0	1020	190380	-150.0528658373463	-6.2336480667566585
2965.8920402526855	19	-137.73304483567992	-6.005792512567552	61.17550345215429	-21.975273246363724	-394.80662012858977	20.0	0.0	1020	200400	-129.32247267755443	-5.29347086430483
3109.9000930786133	20	-131.7508085553083	-5.447586781268264	67.02382544415508	-16.207138861836317	-463.2089962914555	20.0	0.0	1020	210420	-152.18151097793267	-6.3322709120583305
5700.317076921463	21	-130.66746316113668	-5.315249941864544	69.13257761541807	-13.953292706470775	-372.1407144168793	20.0	0.0	1020	220440	-123.78022657066276	-5.371127209793774
5838.323148012161	22	-148.65362755783713	-6.341103883193082	67.81494176012426	-23.120526803755848	-350.7969099510651	20.0	0.0	1020	230460	-122.58630805687872	-5.578119938780969
5975.408607959747	23	-136.3067839028639	-5.724190191576183	62.72101173778024	-17.675808728154664	-371.33968129041733	20.0	0.0	1020	240480	-128.55826669281717	-5.403295664734312
6117.989478111267	24	-129.62109705954765	-5.44790673705914	65.76932847046969	-1.861809424584612	-379.60801447099345	19.949253731343283	0.9274219014998512	1020	250500	-126.25291909893274	-5.176897045463683
6261.95954990387	25	-132.9972156918145	-5.377697474245849	70.05962982974549	-21.147705439267508	-373.91221463254874	20.0	0.0	1020	260520	-126.14011472681277	-4.526547503204207
6404.073730945587	26	-128.78156843351724	-5.186468805944042	64.7149230605168	-21.644949037393705	-446.5441888060812	20.0	0.0	1020	270540	-124.90985048846836	-4.814618651157116
6543.577656984329	27	-124.86858834841789	-5.0033716236468635	62.27426640143481	-28.160954668813606	-510.948134385355	20.0	0.0	1020	280560	-149.75376492785838	-6.001771972682662
