Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
12.52015995979309	0	-160.83967018540105	-8.694541578421298	64.5811643861267	-34.11853457660342	-350.1594628564953	20.0	0.0	1008	10017	-156.91088782574073	-8.667275139809563
23.395244121551514	1	-168.18438958785435	-9.068979690934617	66.28326234116554	-41.87200003915839	-339.39437763747253	20.0	0.0	1008	20034	-167.3369220782835	-9.195750850676363
32.94383382797241	2	-169.25932227109828	-8.916009138303947	60.96578315882275	-25.787887853651178	-343.870053856202	20.0	0.0	1008	30051	-182.4569099470117	-9.362955271628822
42.51586699485779	3	-166.2823196052644	-8.661375926661137	66.40467915140779	-25.61609480392608	-356.38143610349573	20.0	0.0	1008	40068	-163.14702062272866	-8.522034613794828
52.33868193626404	4	-169.29431843316024	-8.957672943200514	67.64299171311932	-29.548702463442595	-410.12089958000394	20.0	0.0	1008	50085	-166.89517701127977	-8.768380578801763
62.44852614402771	5	-163.40383645875144	-8.573725693629788	61.43493607328973	-19.59758937024989	-434.24374808558	20.0	0.0	1008	60102	-168.03957060253916	-8.820079618061698
72.4394600391388	6	-165.52981899096537	-8.58843302265352	63.41643792133488	-32.52352540158059	-393.913112699626	20.0	0.0	1008	70119	-169.4354855430403	-8.766996722464349
82.20243191719055	7	-155.71252038019247	-7.914069041957257	63.883635543169824	-27.26072472903362	-372.4916261651663	20.0	0.0	1008	80136	-155.3108737179583	-7.877455802499818
91.8281478881836	8	-161.49195613078396	-8.22178707133335	63.93776601150469	-28.538736487560296	-338.4967599764932	20.0	0.0	1008	90153	-160.89467480714404	-7.99620356565537
101.40108180046082	9	-151.54088471477777	-7.524495325908198	64.63103961154825	-27.39147289600561	-420.2120673686562	20.0	0.0	1008	100170	-152.86481722923097	-7.4182941894465335
110.85393595695496	10	-159.6832348434454	-7.951009751348644	59.93090534165401	-20.69393081717962	-300.63959835903387	20.0	0.0	1008	110187	-146.00411613508302	-7.4983041650869
120.33314418792725	11	-151.84848597819578	-7.656457907236218	62.67948708121602	-21.83347207705482	-318.8680705117435	20.0	0.0	1008	120204	-141.92886585987017	-6.7999944057218835
129.87882494926453	12	-159.95496652893516	-8.038794893948468	59.561675849210445	-23.126505257627198	-306.14096842972134	20.0	0.0	1008	130221	-141.8324886645057	-6.600704251644736
139.36229395866394	13	-154.25329821123398	-7.550965366219455	59.627725780196464	-21.73198104724903	-343.3449415223732	20.0	0.0	1008	140238	-159.29100394056235	-8.386111866413556
148.90743494033813	14	-147.6654298177304	-7.208568324053813	57.570111173666966	-20.595550169560006	-316.9914479810516	20.0	0.0	1008	150255	-152.30645299039722	-7.3156337348421845
158.47700786590576	15	-156.9268106323369	-7.747154653004378	63.49044010284453	-25.871624188692905	-335.29985675500455	20.0	0.0	1008	160272	-145.8430375715858	-7.078382334772258
168.0150179862976	16	-153.69454486584314	-7.476762944350853	60.50257584516056	-23.112273451828944	-335.96372750261105	20.0	0.0	1008	170289	-159.13898320812675	-7.542826801707005
177.54536604881287	17	-153.43208475717498	-7.590225673603951	59.54685389763175	-27.29891656629685	-322.78625038726193	20.0	0.0	1008	180306	-156.4752049538634	-7.689031782487571
187.1046769618988	18	-154.08862540818535	-7.438101782155056	62.914618565559316	-19.453178522190115	-318.00242185693173	20.0	0.0	1008	190323	-144.73373287561284	-6.446891567727879
196.69061398506165	19	-151.88390512218606	-7.36980059260218	58.87890848075055	-28.796661262215554	-305.866455166154	20.0	0.0	1008	200340	-147.33599605169567	-7.742465774177172
206.18603897094727	20	-155.12474654901482	-7.537957661212736	62.119809494154325	-21.645540972776047	-334.9073357187927	20.0	0.0	1008	210357	-143.73274329577364	-7.020015158888712
215.71736097335815	21	-151.73668261784982	-7.30531501357568	59.269368596787935	-24.163263104321246	-341.8199499915475	20.0	0.0	1008	220374	-170.95115936271318	-8.213749669992898
225.19432997703552	22	-149.08011520949833	-7.260338605514326	60.50113854517076	-19.063005734905083	-308.7440306399631	20.0	0.0	1008	230391	-164.4769984068596	-7.941016772171696
234.76128101348877	23	-151.0665789428079	-7.245291420155817	60.69270751358461	-15.665705001229693	-320.61228322827515	20.0	0.0	1008	240408	-150.96241834850704	-7.417617743985756
244.34795498847961	24	-149.14612742282281	-7.107387415522339	63.06004163239793	-16.079851242845972	-345.44567890711926	20.0	0.0	1008	250425	-148.3450679755628	-6.688854636325051
253.8791069984436	25	-152.93140699967705	-7.137127467015208	64.85491286079161	-17.104132546322944	-345.04749932440967	20.0	0.0	1008	260442	-126.25248527941956	-6.288726069985224
263.38589215278625	26	-148.62778017196513	-7.042080277473256	60.757311542075925	-15.995206009022514	-327.55239954546624	20.0	0.0	1008	270459	-148.34601585782272	-6.762531308218622
272.94817996025085	27	-152.47791549445918	-7.2327298952382355	61.784456072083444	-19.572160460846302	-335.5564972909064	20.0	0.0	1008	280476	-138.17325474307222	-6.443713483217823
282.56122183799744	28	-153.49140917380632	-7.307053510443456	62.806425211033414	-23.303739060074196	-370.34785014406003	20.0	0.0	1008	290493	-157.49396769470147	-7.0440322545570915
292.1245150566101	29	-148.2494963269083	-6.911060344774149	59.39363649855764	-18.892877913038884	-392.4489741088138	20.0	0.0	1008	300510	-144.50288688814905	-6.626785672124979
301.63309693336487	30	-147.4909760337593	-7.0245388512999085	59.51816295745343	-20.999700831660725	-345.6410802559352	20.0	0.0	1008	310527	-147.2406391696761	-6.640398722980609
311.22106194496155	31	-151.61873246172465	-6.971405024927392	60.50021959079355	-25.09529740613511	-348.21517434213047	20.0	0.0	1008	320544	-140.72648960716924	-6.646805674822392
320.70825695991516	32	-140.21708509442703	-6.625112750352769	60.09569890128664	-10.838207685211962	-344.3633869415983	20.0	0.0	1008	330561	-155.68631508249214	-7.6734785193461015
330.2462239265442	33	-146.56927205286547	-6.85735451628747	62.73943989055287	-11.478050921710874	-336.2757126801046	20.0	0.0	1008	340578	-146.89913206340796	-6.467039517831776
339.7917728424072	34	-145.59376275527927	-6.774873588151964	59.471572672495846	-24.23488964215046	-346.8088559828361	20.0	0.0	1008	350595	-140.8099939168057	-6.260232781493946
349.33477878570557	35	-146.98364532788148	-6.588269218689819	59.644671383768035	-30.021067503938564	-323.5092882403536	20.0	0.0	1008	360612	-147.0438600631849	-7.145009674675916
358.8673050403595	36	-141.36583874688992	-6.584645971758681	57.82967423669267	-12.498184730693488	-303.2344815047282	20.0	0.0	1008	370629	-134.25511209098318	-6.737922452159914
368.3593249320984	37	-145.92312720421418	-6.7709476774182	59.05168524393358	-22.29590796039276	-368.8502116884037	20.0	0.0	1008	380646	-134.19319356903307	-6.295385726552797
377.8911499977112	38	-139.6715233784227	-6.323136499416607	59.20720738084302	-26.219687411924298	-390.1493588941292	20.0	0.0	1008	390663	-149.30773063891561	-7.333122143414772
387.388179063797	39	-143.60410941879383	-6.444276182872428	60.1758290839992	-25.55517555939134	-356.2614447103619	20.0	0.0	1008	400680	-148.69310874249598	-6.556768090999031
396.90935611724854	40	-146.6767898156615	-6.540599824768908	61.49091620439502	-16.918592765849528	-321.432136900604	20.0	0.0	1008	410697	-146.17420909612323	-6.245055413685075
406.42002511024475	41	-138.49802108750973	-6.392830882562706	57.61709805766013	-20.29455938288302	-313.56382826868736	20.0	0.0	1008	420714	-143.67356544493137	-6.296061308592673
416.0150480270386	42	-142.57207531186452	-6.380176051864284	60.2785386934596	-19.314483622413135	-381.39194923569664	20.0	0.0	1008	430731	-150.8053832727346	-6.919134397643518
425.5370440483093	43	-138.10599785410875	-6.355188391352949	57.722906473886304	-30.782659646629533	-316.3632779414111	20.0	0.0	1008	440748	-143.54071711956644	-6.54398692779677
435.0929889678955	44	-139.77367387386582	-6.372861123229626	58.70763151369526	-20.616901071577647	-378.8784055532189	20.0	0.0	1008	450765	-145.0599232959975	-6.764092028161734
444.5815439224243	45	-145.27967491700596	-6.702859625103541	61.93648137098134	-21.618950323398	-328.2345167647237	20.0	0.0	1008	460782	-143.1086280397435	-5.9497842807517785
