Time	Iteration	AverageReturn	FinalReward	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	ValAverageReturn	ValFinalReward
51.67403292655945	0	-167.2905783431007	-9.170749426389364	62.44929841610974	-39.85035703400373	-324.0531920069316	20.0	0.0	1008	10017	-162.48493762247554	-9.44759526336617
103.51997900009155	1	-168.40880039007493	-9.017183298978194	63.37362861564442	-34.73686264658906	-341.86670847383954	20.0	0.0	1008	20034	-162.31084014929596	-9.199614818336196
150.67373609542847	2	-160.6101399413274	-8.553159217807968	64.56268305137239	-33.716734222613354	-375.46222484817827	20.0	0.0	1008	30051	-152.69291361557538	-7.907503541503705
198.07851600646973	3	-158.60717245281717	-8.569397759620907	67.21949260976885	-25.417616715964208	-366.72569842008596	20.0	0.0	1008	40068	-166.30622941592893	-8.533228555430734
244.49479818344116	4	-164.73457278001834	-8.75452263478818	66.20633486668466	-29.149072686378386	-365.8283316191189	20.0	0.0	1008	50085	-163.22889640254485	-8.358223876831497
290.15589904785156	5	-163.51277074181252	-8.408913531508519	64.6805933036909	-19.098927055548433	-383.22782956694675	19.9853249475891	0.3201718440354298	1008	60102	-148.04168763506456	-7.550580379433573
336.9294810295105	6	-156.87795140601483	-8.174916907324882	63.315430490944735	-40.52127687379696	-336.62978277775807	20.0	0.0	1008	70119	-155.62365396611247	-7.749691234310333
383.64898896217346	7	-162.28421854114478	-8.207351965274261	65.28158139675017	-26.05131857480411	-402.5391876559198	20.0	0.0	1008	80136	-158.94671362368882	-7.583437846328991
432.7479510307312	8	-163.78192667925728	-8.145512761653519	67.55013874576471	-29.315733831237928	-429.8350758596553	20.0	0.0	1008	90153	-137.18394372773705	-6.633426634788454
479.5179982185364	9	-153.5474907222777	-7.507449444952515	65.68042609044002	-23.40884295121286	-386.2295781427147	20.0	0.0	1008	100170	-149.8703307034271	-7.015664434379005
528.5200440883636	10	-152.25823354936028	-7.238810470653584	66.17199944374694	-31.58976301976634	-385.09347839198904	20.0	0.0	1008	110187	-162.95216730028702	-8.090895729736792
574.8600580692291	11	-154.24730122528828	-7.228067398923745	59.67254427643638	-33.53478226459732	-323.0763793387613	20.0	0.0	1008	120204	-142.44850842411998	-6.845539732414498
622.7943089008331	12	-148.6337826847772	-6.9424924455090755	66.5102337725516	-25.73560236073928	-373.55717510479684	20.0	0.0	1008	130221	-135.3622817507031	-6.2597957646455775
679.7717339992523	13	-147.22687700541692	-6.718984373904821	65.96875736276093	-25.96763156043963	-380.39375059067174	20.0	0.0	1008	140238	-129.61220393940357	-6.194561291246476
750.8694751262665	14	-144.45732140392093	-6.51240321429166	63.920444089415064	-26.17778080098745	-313.3482872132137	20.0	0.0	1008	150255	-136.2163209479835	-5.814513976738437
812.5833139419556	15	-147.00596798666743	-6.597499976352394	69.45096862405241	-26.76302211053003	-415.7083604738275	20.0	0.0	1008	160272	-134.68267782375293	-5.874113382946201
886.1150941848755	16	-138.97195358250295	-6.040829783694298	64.21166325679397	-25.630953161927863	-405.167008952277	20.0	0.0	1008	170289	-152.54764960032205	-6.557766600787512
943.4602811336517	17	-136.53251993203577	-5.7842561888271495	63.26854781765144	-20.070689691887974	-449.82614244109845	20.0	0.0	1008	180306	-130.40192530664993	-5.629329871635847
992.1329061985016	18	-130.131680544692	-5.550516090359918	60.69211017514499	-28.588123363907215	-357.3236218207679	20.0	0.0	1008	190323	-128.81957803746243	-5.456702516538356
1044.514673948288	19	-134.2342126424227	-5.816205882622516	68.13127809065014	-24.24742633716413	-371.6813270651156	20.0	0.0	1008	200340	-128.00115377639958	-5.37196324564579
1099.406809091568	20	-123.97903093212572	-4.974011195483751	59.287944954684406	-18.360771101781438	-342.10064485665185	20.0	0.0	1008	210357	-123.65867188502055	-4.691725291284773
